experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history,ea_overrides
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,0,3.8,3.0,0.0,3.8379965819284023,2.9866839873346156,-0.01862890656156669,0.9995590748092138,0.040262345082551776,0.018628906561566794,True,0.0005121527777777784,0.0002753758237530428,0.00044111969157035764,0.0003585069444444448,8.261274712591283e-05,23.61072550000972,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995590748092138,0.9849913464716599,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,1,3.8,3.0,0.0,4.351086615138836,2.8916024020991657,-3.14065770027325,0.9973427532491774,0.5616462379610951,3.14065770027325,False,0.0011452907986111093,0.006208743215977755,0.0026643265238211027,0.0008017035590277765,0.0018626229647933264,23.70134979201248,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9973427532491774,0.9833487415866563,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,2,3.8,3.0,0.0,3.821325079810115,2.9881095834336495,-0.01736810846778171,0.9995866052711438,0.02441599957055038,0.017368108467781695,True,0.0004611545138888895,0.0003025251167075779,0.00041356569473449597,0.0003228081597222226,9.075753501227336e-05,23.632728084005066,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995866052711438,0.9844300310188909,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,3,3.8,3.0,0.0,3.8394325551770954,2.993284000426261,-0.03333836798672306,0.9995789359765189,0.04000038822398039,0.03333836798672296,True,0.0005262586805555561,0.00017620105562688934,0.000421241393076956,0.00036838107638888923,5.28603166880668e-05,23.717919916001847,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995789359765189,0.984896164842416,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,4,3.8,3.0,0.0,3.833717158102284,2.966687149775757,0.00957340451732236,0.9994195247886033,0.04739823562704933,0.00957340451732236,True,0.0005875651041666653,0.0005650559521885498,0.0005808123585732306,0.00041129557291666566,0.00016951678565656493,23.611676000000443,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9994195247886033,0.9852270362258696,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,5,3.8,3.0,0.0,3.796920952272515,3.00278511422765,-0.009015736735766534,0.999955279861974,0.004151794331272452,0.009015736735766389,True,9.765624999999978e-06,0.0001262873350210148,4.4722138006304426e-05,6.835937499999984e-06,3.788620050630444e-05,23.668830499998876,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.999955279861974,0.9846894862873392,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,6,3.8,3.0,0.0,3.816145927903227,3.0160424826896555,-0.00961558000239532,0.9992214779654015,0.022760760942993525,0.009615580002395152,True,0.0004117838541666672,0.001636266351557875,0.0007791286033840295,0.000288248697916667,0.0004908799054673625,23.579779749998124,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9992214779654015,0.9829238059560617,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,7,3.8,3.0,0.0,4.369497571025264,2.9341241791226147,-3.1303793748177133,0.9973123236085799,0.5732949565275676,3.1303793748177133,False,0.0007817925347222193,0.007158882295105692,0.0026949194628372608,0.0005472547743055534,0.0021476646885317074,23.8262831250031,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9973123236085799,0.9847619056035025,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,8,3.8,3.0,0.0,3.802904282446153,3.007071840227587,-0.010684102333053006,0.9996386205347781,0.0076449840242834724,0.010684102333053058,True,1.7361111111111094e-05,0.0011645244325779434,0.0003615101075511608,1.2152777777777765e-05,0.00034935732977338304,23.64298029099882,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9996386205347781,0.9843715465522916,{'generations': 80}
experiment_4_parameter_tuning,gen_80,corridor,perception_aware,2,9,3.8,3.0,0.0,3.8437541655518985,3.0056881481154076,-0.024653966781237983,0.9995825433441691,0.04412235297585312,0.02465396678123799,True,0.0005034722222222228,0.0002173348103846675,0.00041763099867095615,0.0003524305555555559,6.520044311540025e-05,23.634906959006912,100,80,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995825433441691,0.9845000973983966,{'generations': 80}
