map_name,pose_id,x,y,theta,scan_error,equivalence_threshold,equivalence_percentile,true_x,true_y,true_theta
corridor_2,0,2.1944444444444446,1.4203703703703705,1.0471975511965974,0.004180230034722215,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.535185185185186,4.479629629629629,-2.0943951023931957,0.004186740451388875,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.851851851851853,1.638888888888889,1.3089969389957465,0.004195421006944435,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.290740740740741,4.042592592592593,-2.0943951023931957,0.0042051866319444305,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.974074074074075,1.638888888888889,0.5235987755982987,0.004240451388888875,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.72962962962963,3.9333333333333336,-2.6179938779914944,0.004257269965277758,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.0240740740740741,3.9333333333333336,-1.8325957145940461,0.004286024305555547,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.2666666666666675,4.479629629629629,-2.6179938779914944,0.004287651909722207,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.535185185185186,4.37037037037037,-2.0943951023931957,0.004294704861111096,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,7.022222222222223,1.638888888888889,1.0471975511965974,0.004304470486111091,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.340740740740741,4.261111111111111,-1.8325957145940461,0.0043180338541666564,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.0240740740740741,4.479629629629629,-2.0943951023931957,0.004320203993055539,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,7.314814814814816,1.8574074074074074,1.3089969389957465,0.00434082031249999,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.0481481481481483,1.8574074074074074,1.0471975511965974,0.004354383680555546,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.1703703703703705,4.37037037037037,-2.356194490192345,0.004369032118055537,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.340740740740741,4.37037037037037,-1.8325957145940461,0.004369032118055543,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.657407407407408,1.638888888888889,1.0471975511965974,0.004385850694444429,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.144444444444445,4.37037037037037,-2.0943951023931957,0.004421657986111096,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.0962962962962965,4.37037037037037,-1.8325957145940461,0.004429253472222214,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.72962962962963,1.638888888888889,0.7853981633974478,0.004431966145833313,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,2.4870370370370374,4.261111111111111,-2.0943951023931957,0.004436848958333326,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.72962962962963,1.7481481481481482,0.7853981633974478,0.004448784722222202,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.6092592592592594,1.638888888888889,0.5235987755982987,0.004458550347222203,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.875925925925927,1.8574074074074074,0.7853981633974478,0.004479709201388873,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.290740740740741,4.261111111111111,-2.0943951023931957,0.0044867621527777575,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.6092592592592594,4.261111111111111,-2.6179938779914944,0.004488389756944423,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.6092592592592594,1.5296296296296297,0.7853981633974478,0.004491644965277762,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.583333333333334,1.7481481481481482,0.5235987755982987,0.004539388020833311,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.3166666666666669,3.9333333333333336,-2.356194490192345,0.0045893012152777675,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.5111111111111115,1.638888888888889,1.0471975511965974,0.004593098958333312,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,7.022222222222223,2.075925925925926,1.3089969389957465,0.00461480034722221,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,4.974074074074075,4.261111111111111,-2.356194490192345,0.004628906249999981,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.218518518518519,4.261111111111111,-2.6179938779914944,0.0046332465277777604,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.6092592592592594,4.042592592592593,-2.6179938779914944,0.004646267361111094,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,1.7555555555555558,1.4203703703703705,0.7853981633974478,0.004656575520833318,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,3.218518518518519,1.4203703703703705,0.7853981633974478,0.004661458333333316,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,6.583333333333334,1.8574074074074074,0.5235987755982987,0.004665256076388866,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
corridor_2,0,5.412962962962964,1.638888888888889,1.0471975511965974,0.004666341145833315,0.007640348307291643,1.0,1.7,1.7,0.7853981633974483
