experiment,config_id,map_name,method,pose_id,seed,true_x,true_y,true_theta,estimated_x,estimated_y,estimated_theta,best_fitness,position_error,theta_error,success,scan_error,feature_error,combined_error,scan_contribution,perception_contribution,runtime_seconds,population_size,generations,elite_size,tournament_size,crossover_rate,mutation_rate,sigma_xy,sigma_theta,fov_deg,num_beams,max_range_m,noise_std_m,angular_resolution_deg,perception_weight,final_best_history,final_mean_history
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,0,1.0,1.0,0.0,6.983114928331714,4.955634877393336,3.1308615350934974,0.9989811983527531,7.172496882458465,3.130861535093498,False,0.00019097222222222166,0.0029538670234612965,0.001019840662593944,0.00013368055555555515,0.0008861601070383889,6.521238499990432,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9989811983527531,0.9683467668438981
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,1,1.0,1.0,0.0,7.003209934651051,4.900404384499152,3.103699960311394,0.9989888610391794,7.159028138100401,3.1036999603113937,False,0.00021375868055555484,0.002875104404222374,0.0010121623976556008,0.00014963107638888838,0.0008625313212667123,6.766071750011179,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9989888610391794,0.9668972420023673
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,2,1.0,1.0,0.0,1.0278380635434814,0.9176127586011141,0.022759926769426144,0.999766848660506,0.08696329873670387,0.022759926769426286,True,7.812499999999992e-05,0.0005950607057266799,0.0002332057117180039,5.468749999999994e-05,0.00017851821171800396,6.944438207996427,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.999766848660506,0.9680560310331865
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,3,1.0,1.0,0.0,6.974645066033266,4.944780013977877,-3.136986398893261,0.9990467700312737,7.159446418806062,3.136986398893261,False,0.00013780381944444408,0.0028589226982157026,0.0009541394830758216,9.646267361111086e-05,0.0008576768094647108,6.638625624997076,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9990467700312737,0.9635312600759876
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,4,1.0,1.0,0.0,7.030136676996476,4.882208424352278,3.0903349428175355,0.9989533798635384,7.171756451063429,3.0903349428175355,False,0.0002712673611111103,0.0028594318169235015,0.0010477166978548275,0.0001898871527777772,0.0008578295450770504,6.632800750012393,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9989533798635384,0.9618605446447854
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,5,1.0,1.0,0.0,1.063541471579233,0.9298793801050504,0.0372563275112192,0.9998363492647463,0.09462779689344182,0.03725632751121921,True,0.00010633680555555524,0.0002974725243719972,0.0001636775212004878,7.443576388888866e-05,8.924175731159917e-05,6.7478323340037605,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9998363492647463,0.9642684414589786
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,6,1.0,1.0,0.0,1.0349756979402012,0.9616437829801434,0.02663834375167067,0.9998673402271991,0.05190856220777578,0.026638343751670845,True,5.3168402777777544e-05,0.00031819830602244453,0.00013267737375117762,3.721788194444428e-05,9.545949180673335e-05,6.793026250001276,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9998673402271991,0.9651566885107858
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,7,1.0,1.0,0.0,6.9577578991825,4.9060422425242605,-3.1372296637898476,0.9989310900229276,7.12404696683391,3.1372296637898476,False,7.378472222222199e-05,0.003394681542219583,0.0010700537682214303,5.164930555555539e-05,0.001018404462665875,6.7167912920122035,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9989310900229276,0.9615204448203072
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,8,1.0,1.0,0.0,0.9939704955371083,0.9962440716415721,-0.004802826375188642,0.9999651263680288,0.00710365553089915,0.004802826375188474,True,1.1935763888888857e-05,8.839937820529636e-05,3.487484818381111e-05,8.355034722222199e-06,2.651981346158891e-05,6.8965594159963075,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9999651263680288,0.9644530402068422
experiment_3_beam_sensitivity,beams_36,simple_room,perception_aware,0,9,1.0,1.0,0.0,6.980030226450374,4.962123699739914,3.1354258456550226,0.9989459629051919,7.173505818029342,3.135425845655023,False,0.00019422743055555504,0.0030639668662703922,0.001055149261270006,0.00013595920138888853,0.0009191900598811176,6.579213625009288,100,40,3,3,0.9,0.8,0.35,0.25,360.0,36,8.0,0.0,10.285714285714286,0.3,0.9989459629051919,0.9646281425437857
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,0,1.0,1.0,0.0,7.038959438353554,4.846369820031795,3.108781988734046,0.9983373129218965,7.159859767518557,3.108781988734046,False,0.0003895399305555542,0.00464259419745008,0.0016654562106239116,0.00027267795138888795,0.0013927782592350238,12.52979983399564,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9983373129218965,0.9634965956882594
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,1,1.0,1.0,0.0,7.04362968644904,4.861351571323506,3.1164516431352656,0.9983174034585233,7.171854414605098,3.1164516431352656,False,0.00033528645833333235,0.0048357730781497564,0.0016854324442782595,0.00023470052083333264,0.0014507319234449269,12.796378584011109,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9983174034585233,0.9655180628158436
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,2,1.0,1.0,0.0,1.0015412846774794,0.9913162625514147,0.003773101988315851,0.9999644991559262,0.008819458857151926,0.003773101988315819,True,7.595486111111089e-06,0.00010061754716935341,3.550210442858378e-05,5.316840277777762e-06,3.0185264150806022e-05,13.156298165995395,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9999644991559262,0.9680076137700846
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,3,1.0,1.0,0.0,7.019760178611389,4.950302127008499,-3.114869183423002,0.9979538660959906,7.2001666301998375,3.114869183423002,False,0.00048122829861110903,0.005711564476579885,0.002050329152001742,0.0003368598090277763,0.0017134693429739654,12.798666749993572,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9979538660959906,0.964365111778848
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,4,1.0,1.0,0.0,7.071006130030239,4.8559602383810985,3.1266508717437493,0.9977144797005338,7.1920473295745735,3.126650871743749,False,0.0004166666666666659,0.00666363067279369,0.002290755868504773,0.0002916666666666661,0.001999089201838107,12.752255207989947,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9977144797005338,0.9638683011495699
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,5,1.0,1.0,0.0,1.006437167479236,1.028529680427587,-0.006894181058836473,0.9998912084281335,0.029246876593167572,0.006894181058836324,True,2.2243923611111048e-05,0.00031077554077577177,0.00010880340876050927,1.557074652777773e-05,9.323266223273153e-05,13.325268291999237,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9998693502870235,0.9657682985448274
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,6,1.0,1.0,0.0,1.0253520923369033,1.016419122822707,0.026252646574601926,0.9997769948645857,0.030204572172537227,0.0262526465746018,True,0.00020399305555555438,0.0002675324630287597,0.00022305487779751597,0.00014279513888888805,8.02597389086279e-05,13.067511750006815,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9997769948645857,0.9680114256958368
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,7,1.0,1.0,0.0,1.0509628879957387,0.9288603151398442,0.03378472705340152,0.9995709103911121,0.08751040346649351,0.0337847270534013,True,0.00012369791666666622,0.0011422842138360222,0.000429273805817473,8.658854166666635e-05,0.00034268526415080666,13.282695417001378,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9995709103911121,0.9666675052644219
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,8,1.0,1.0,0.0,1.0150069334707448,0.9958081378810113,0.0014762765891005942,0.9999585237964924,0.015581391472521711,0.0014762765891007668,True,8.680555555555525e-06,0.00011800511655216579,4.14779238545386e-05,6.076388888888867e-06,3.5401534965649736e-05,13.076677540986566,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9998115328368878,0.9678312205205973
experiment_3_beam_sensitivity,beams_72,simple_room,perception_aware,0,9,1.0,1.0,0.0,7.070207033797857,4.818249568671471,3.10693728790256,0.9981902416043538,7.1712232709509784,3.10693728790256,False,0.0004687499999999989,0.004949715197367625,0.0018130395592102868,0.0003281249999999992,0.0014849145592102876,12.616756041999906,100,40,3,3,0.9,0.8,0.35,0.25,360.0,72,8.0,0.0,5.070422535211268,0.3,0.9981902416043538,0.9631112668093053
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,0,1.0,1.0,0.0,7.039321623251001,4.727121448350045,3.084711605947136,0.9980699978080301,7.096819002892637,3.0847116059471364,False,0.0005530237268518508,0.005155392315393233,0.0019337343034142654,0.0003871166087962955,0.0015466176946179698,18.525306374998763,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9980699978080301,0.9640323634640049
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,1,1.0,1.0,0.0,7.05889092847912,4.790500652277547,3.0892398558041547,0.9979046760794814,7.146891245718175,3.0892398558041547,False,0.0005240885416666649,0.0057762051409097,0.0020997235214395755,0.0003668619791666654,0.00173286154227291,18.849270499995328,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9979046760794814,0.9666963987585899
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,2,1.0,1.0,0.0,1.005104902380939,0.990830456281028,-0.0019148846203447256,0.99993595721429,0.010494787293368897,0.0019148846203447256,True,1.772280092592586e-05,0.00017213642267614217,6.404688745099075e-05,1.24059606481481e-05,5.164092680284265e-05,19.584180624995497,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.99993595721429,0.9638701806879857
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,3,1.0,1.0,0.0,7.0446177598182045,4.863936205432118,3.139823145185879,0.9978240490161784,7.174078816263368,3.139823145185879,False,0.00036964699074073956,0.006406477260218348,0.002180696071584022,0.0002587528935185177,0.0019219431780655041,18.690069916992798,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9978240490161784,0.9658857489115188
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,4,1.0,1.0,0.0,1.0026278809316214,0.995322155817716,-0.0075203099836597615,0.9999015598089291,0.005365443540333595,0.007520309983659601,True,4.629629629629602e-05,0.00022014158362900285,9.844988249610807e-05,3.240740740740721e-05,6.604247508870086e-05,19.648146167004597,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9999015598089291,0.9628781179994994
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,5,1.0,1.0,0.0,0.9919205790189786,1.0162506132408908,-0.009537262102176446,0.9999176096526101,0.018148263666080723,0.009537262102176314,True,2.7126736111110974e-05,0.00021136140280263228,8.239713611856736e-05,1.898871527777768e-05,6.340842084078968e-05,19.737264625000535,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9999176096526101,0.967800973231049
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,6,1.0,1.0,0.0,1.0228595090561303,1.002362567966182,0.0024332045711310535,0.9999127596260745,0.022981272412164952,0.0024332045711310535,True,1.7361111111111047e-05,0.0002503173589819315,8.724798547235717e-05,1.2152777777777731e-05,7.509520769457944e-05,19.25592029200925,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9999065141471312,0.966862699286743
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,7,1.0,1.0,0.0,0.9837734893697562,1.003362711295164,-0.01066596848940927,0.9998391833815751,0.01657128463602141,0.010665968489409483,True,4.8828124999999705e-05,0.00042220932356492696,0.00016084248456947788,3.417968749999979e-05,0.0001266627970694781,19.452846792002674,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9998391833815751,0.9640726539752356
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,8,1.0,1.0,0.0,1.0309231899637024,0.9812951704511704,0.009352608306457899,0.9998967811000747,0.03614020373464973,0.009352608306457899,True,3.074363425925915e-05,0.0002723633706162391,0.00010322955516635313,2.1520543981481402e-05,8.170901118487173e-05,21.08207895900705,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9998967811000747,0.9670490060252476
experiment_3_beam_sensitivity,beams_108,simple_room,perception_aware,0,9,1.0,1.0,0.0,7.044558248683566,4.733377338091375,3.084818419053202,0.9980842359164582,7.104561265152323,3.084818419053202,False,0.0005439814814814802,0.005128847477232642,0.0019194412802068287,0.00038078703703703614,0.0015386542431697927,18.78816370900313,100,40,3,3,0.9,0.8,0.35,0.25,360.0,108,8.0,0.0,3.364485981308411,0.3,0.9980842359164582,0.9668152740343325
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,0,1.0,1.0,0.0,7.089069222349063,4.765996604501854,3.0513118222096396,0.99774125529179,7.1595736199635605,3.051311822209639,False,0.0011857096354166605,0.004779538137053087,0.0022638581859075885,0.0008299967447916623,0.001433861441115926,24.89675120699394,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.99774125529179,0.9679587707231405
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,1,1.0,1.0,0.0,7.098702299409105,4.813514532996687,3.0875574699793953,0.9980060152614885,7.192848033303279,3.0875574699793953,False,0.0006022135416666647,0.0052547305945203045,0.0019979686575227564,0.0004215494791666653,0.0015764191783560913,25.130516916004126,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9980060152614885,0.9691431358033554
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,2,1.0,1.0,0.0,7.066402498766941,4.806119486872642,3.1095534578710393,0.9979056117214761,7.161549052083456,3.109553457871039,False,0.0003662109374999994,0.006141454302572472,0.002098783947021741,0.0002563476562499996,0.0018424362907717414,24.70148745800543,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9979056117214761,0.9694850968882014
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,3,1.0,1.0,0.0,7.067246169089761,4.81288887303936,3.101066561530037,0.9979110503458445,7.165863355833806,3.101066561530037,False,0.00038872612847222135,0.0060707140317874525,0.0020933224994667907,0.00027210828993055495,0.0018212142095362356,24.660355750005692,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9979110503458445,0.9630928081869519
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,4,1.0,1.0,0.0,7.045151834806791,4.937287419761201,-3.1196227009481645,0.9973895388714729,7.2142978127935455,3.1196227009481645,False,0.0006781684027777745,0.007141918631506104,0.0026172934713962733,0.0004747178819444421,0.002142575589451831,27.372374666010728,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9973895388714729,0.9657157575056147
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,5,1.0,1.0,0.0,7.084945752858023,4.819153255747898,3.0999281509006895,0.998107254209842,7.184183767562928,3.0999281509006895,False,0.00045491536458333224,0.0052596477172357535,0.0018963350703790583,0.0003184407552083325,0.001577894315170726,26.01303933399322,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.998107254209842,0.9667714380002913
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,6,1.0,1.0,0.0,0.9907388845247194,1.0099825283525055,-0.005912119486346849,0.9999386869811576,0.013616869396269387,0.005912119486346956,True,1.464843749999994e-05,0.00017020957369699662,6.131677835909894e-05,1.0253906249999958e-05,5.106287210909898e-05,25.835718250003993,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9999386869811576,0.9654449708742683
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,7,1.0,1.0,0.0,1.0138393188939714,0.983232564953016,-0.0024478151073358944,0.9999366654960634,0.02174105851847742,0.0024478151073359378,True,3.607855902777764e-05,0.000126945080435455,6.333851545008085e-05,2.5254991319444344e-05,3.8083524130636504e-05,25.855575374996988,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9999366654960634,0.9654661921782125
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,8,1.0,1.0,0.0,1.0108257695812974,0.9907234664251798,-0.010440773698398149,0.9998821547788761,0.014256625203466308,0.010440773698398242,True,7.622612847222176e-05,0.00021500273442096678,0.00011785911025684526,5.335828993055523e-05,6.450082032629003e-05,26.288289500007522,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9998821547788761,0.9657409276016654
experiment_3_beam_sensitivity,beams_144,simple_room,perception_aware,0,9,1.0,1.0,0.0,7.0715468405572395,4.769353594389953,3.0990290302116366,0.9978974683901546,7.146447198197231,3.0990290302116366,False,0.00043972439236111046,0.005997181628266266,0.002106961563132657,0.0003078070746527773,0.0017991544884798797,25.630796500001452,100,40,3,3,0.9,0.8,0.35,0.25,360.0,144,8.0,0.0,2.5174825174825175,0.3,0.9978974683901546,0.9640829392063304
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,0,3.0,2.5,0.7,5.0460065470450495,2.9191020402913495,-2.6325808369703374,0.990033732026685,2.088489720043548,2.9506044702092487,False,0.007421874999999961,0.01623760616729209,0.0100665943501876,0.0051953124999999725,0.004871281850187628,4.509249166992959,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.990033732026685,0.9738393060766921
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,1,3.0,2.5,0.7,3.020029978365246,2.497986121244559,0.7046243762688238,0.9996108439434986,0.020130964729834267,0.004624376268823838,True,1.0850694444444406e-05,0.0012723735726143405,0.0003893075578954133,7.595486111111084e-06,0.00038171207178430217,4.538631917006569,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9996108439434986,0.9784191386877005
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,2,3.0,2.5,0.7,3.007335949756013,2.5100210179180205,0.7076177052594945,0.999947221199401,0.012419217323810369,0.007617705259494567,True,8.680555555555495e-06,0.00015568399152958898,5.2781586347765536e-05,6.076388888888846e-06,4.670519745887669e-05,4.551306499997736,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.999947221199401,0.9792078983109068
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,3,3.0,2.5,0.7,2.9621342990358515,2.520001122997952,0.7205574706542381,0.99965845773258,0.042823547619102315,0.020557470654238408,True,8.029513888888834e-05,0.0009515078705769989,0.0003416589583953215,5.620659722222183e-05,0.0002854523611730997,4.595569040990085,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.99965845773258,0.9790516553538154
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,4,3.0,2.5,0.7,3.01420871892685,2.5192469041829932,0.7052742735307866,0.9999231624427426,0.023923440684223276,0.005274273530786466,True,1.302083333333326e-05,0.00022576292795962785,7.684346172122164e-05,9.114583333333282e-06,6.772887838788836e-05,4.541318207993754,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9999231624427426,0.9804156154639471
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,5,3.0,2.5,0.7,3.0496714630927246,2.5089626907190783,0.7215016591843852,0.9994431845514989,0.05047359775860799,0.02150165918438507,True,5.425347222222189e-05,0.0017304941137414598,0.0005571256646779932,3.797743055555532e-05,0.0005191482341224379,4.537834583010408,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9994431845514989,0.9773446138327434
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,6,3.0,2.5,0.7,3.0219788704355905,2.523108668288668,0.7125818227282978,0.9995633928545864,0.031891712022093927,0.012581822728297887,True,4.123263888888864e-05,0.001359783357519145,0.00043679785447796554,2.8862847222222044e-05,0.0004079350072557435,4.584806500002742,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9995633928545864,0.9807718938911121
experiment_3_beam_sensitivity,beams_18,simple_room,perception_aware,1,7,3.0,2.5,0.7,2.9405966375798083,2.508088087415745,0.738892251535425,0.9993617425963567,0.05995145223319767,0.03889225153542508,True,0.00022135416666666527,0.0016123903988819743,0.000638665036331258,0.00015494791666666567,0.0004837171196645923,4.542648749993532,100,40,3,3,0.9,0.8,0.35,0.25,360.0,18,8.0,0.0,21.176470588235293,0.3,0.9993617425963567,0.9776984934213553
